stim_category,stim_position,task_type,food_img,plant_img,block_type,is_task_switch,is_correct,rt,subj_id,trial,group
food,1,1,1,4,1,1,1,1528,cl_pu_2007_05_24_423_f,1,AN
food,2,1,2,1,1,0,1,1141,cl_pu_2007_05_24_423_f,2,AN
food,1,1,5,3,1,0,1,934,cl_pu_2007_05_24_423_f,3,AN
food,2,1,1,4,1,0,1,1519,cl_pu_2007_05_24_423_f,4,AN
food,1,1,8,3,1,0,1,1002,cl_pu_2007_05_24_423_f,5,AN
food,2,1,1,4,1,0,1,802,cl_pu_2007_05_24_423_f,6,AN
food,1,1,6,1,1,0,2,732,cl_pu_2007_05_24_423_f,7,AN
food,2,1,4,3,1,0,1,1267,cl_pu_2007_05_24_423_f,8,AN
food,1,1,6,7,1,0,1,1380,cl_pu_2007_05_24_423_f,9,AN
food,2,1,1,5,1,0,1,623,cl_pu_2007_05_24_423_f,10,AN
food,1,1,6,8,1,0,1,868,cl_pu_2007_05_24_423_f,11,AN
food,2,1,5,2,1,0,1,1379,cl_pu_2007_05_24_423_f,12,AN
food,1,1,4,4,1,0,1,758,cl_pu_2007_05_24_423_f,13,AN
food,2,1,5,1,1,0,1,816,cl_pu_2007_05_24_423_f,14,AN
food,1,1,3,6,1,0,1,594,cl_pu_2007_05_24_423_f,15,AN
food,2,1,5,1,1,0,1,610,cl_pu_2007_05_24_423_f,16,AN
food,1,1,4,2,1,0,1,576,cl_pu_2007_05_24_423_f,17,AN
food,2,1,1,7,1,0,2,663,cl_pu_2007_05_24_423_f,18,AN
food,1,1,8,8,1,0,2,1106,cl_pu_2007_05_24_423_f,19,AN
food,2,1,4,7,1,0,1,1613,cl_pu_2007_05_24_423_f,20,AN
food,1,1,8,3,1,0,1,800,cl_pu_2007_05_24_423_f,21,AN
food,2,1,6,8,1,0,1,693,cl_pu_2007_05_24_423_f,22,AN
food,1,1,8,7,1,0,1,2820,cl_pu_2007_05_24_423_f,23,AN
food,2,1,2,1,1,0,1,1143,cl_pu_2007_05_24_423_f,24,AN
food,1,1,6,7,1,0,1,843,cl_pu_2007_05_24_423_f,25,AN
food,2,1,3,5,1,0,1,727,cl_pu_2007_05_24_423_f,26,AN
food,1,1,8,2,1,0,1,477,cl_pu_2007_05_24_423_f,27,AN
food,2,1,2,5,1,0,1,375,cl_pu_2007_05_24_423_f,28,AN
food,1,1,6,8,1,0,1,540,cl_pu_2007_05_24_423_f,29,AN
food,2,1,4,7,1,0,1,407,cl_pu_2007_05_24_423_f,30,AN
food,1,1,8,4,1,0,1,351,cl_pu_2007_05_24_423_f,31,AN
food,2,1,4,5,1,0,1,325,cl_pu_2007_05_24_423_f,32,AN
food,1,1,2,1,1,0,2,446,cl_pu_2007_05_24_423_f,33,AN
food,2,1,8,5,1,0,1,1493,cl_pu_2007_05_24_423_f,34,AN
food,1,1,2,1,1,0,1,816,cl_pu_2007_05_24_423_f,35,AN
food,2,1,5,6,1,0,1,844,cl_pu_2007_05_24_423_f,36,AN
food,1,1,7,4,1,0,1,833,cl_pu_2007_05_24_423_f,37,AN
food,2,1,5,2,1,0,1,660,cl_pu_2007_05_24_423_f,38,AN
food,1,1,7,5,1,0,1,736,cl_pu_2007_05_24_423_f,39,AN
food,2,1,1,2,1,0,1,791,cl_pu_2007_05_24_423_f,40,AN
plants,3,2,8,3,2,1,1,1628,cl_pu_2007_05_24_423_f,41,AN
plants,4,2,3,1,2,0,2,662,cl_pu_2007_05_24_423_f,42,AN
